,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD),lien
607,Corsair CMK16GX4M2E4000C19 8GB,32,15.1,12.6,$249.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2E4000C19+8GB&id=10719
608,Corsair CMK16GX4M2E4333C19 8GB,25,16.5,12.3,$530.27*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2E4333C19+8GB&id=11674
610,Corsair CMK16GX4M2F4500C19 8GB,16,22.2,17.7,$898.15*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2F4500C19+8GB&id=11543
614,Corsair CMK16GX4M2K4133C19 8GB,29,16.4,11.7,$226.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2K4133C19+8GB&id=13042
616,Corsair CMK16GX4M2K4266C19 8GB,25,18.7,15.3,$269.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2K4266C19+8GB&id=12815
618,Corsair CMK16GX4M2K4400C19 8GB,23,19.4,17.6,$692.66*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2K4400C19+8GB&id=12825
621,Corsair CMK16GX4M2L3000C15 8GB,27,18.6,14.3,$199.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2L3000C15+8GB&id=11415
623,Corsair CMK16GX4M2Z2400C16 8GB,30,17.4,13.2,$95.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2Z2400C16+8GB&id=10646
624,Corsair CMK16GX4M2Z2666C16 8GB,31,16.2,13.0,$98.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2Z2666C16+8GB&id=10683
625,Corsair CMK16GX4M2Z2933C16 8GB,30,17.5,14.6,$201.43*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2Z2933C16+8GB&id=12261
626,Corsair CMK16GX4M2Z3200C16 8GB,29,19.6,15.4,$99.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2Z3200C16+8GB&id=10878
627,Corsair CMK16GX4M2Z3466C16 8GB,40,19.2,10.7,$132.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2Z3466C16+8GB&id=12508
629,Corsair CMK16GX4M2Z3600C18 8GB,29,18.7,15.5,$99.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2Z3600C18+8GB&id=12463
630,Corsair CMK16GX4M2Z3600C20 8GB,30,17.4,14.5,$155.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2Z3600C20+8GB&id=14933
632,Corsair CMK16GX4M4A2133C13 4GB,39,14.5,10.8,$94.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4A2133C13+4GB&id=6923
633,Corsair CMK16GX4M4A2133C15 4GB,28,13.4,10.4,$132.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4A2133C15+4GB&id=6812
634,Corsair CMK16GX4M4A2400C14 4GB,37,15.0,11.5,$252.02*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4A2400C14+4GB&id=6625
635,Corsair CMK16GX4M4A2400C16 4GB,27,15.8,11.9,$210.03*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4A2400C16+4GB&id=7933
636,Corsair CMK16GX4M4A2666C15 4GB,40,13.7,10.4,$176.04*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4A2666C15+4GB&id=6286
637,Corsair CMK16GX4M4A2666C16 4GB,38,14.7,11.8,$319.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4A2666C16+4GB&id=6410
638,Corsair CMK16GX4M4A2800C16 4GB,38,14.3,11.2,$204.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4A2800C16+4GB&id=6301
639,Corsair CMK16GX4M4B3000C15 4GB,32,17.0,13.7,$359.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4B3000C15+4GB&id=7057
640,Corsair CMK16GX4M4B3200C15 4GB,22,17.6,13.7,$169.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4B3200C15+4GB&id=7668
641,Corsair CMK16GX4M4B3200C16 4GB,25,15.7,12.4,$119.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4B3200C16+4GB&id=8068
642,Corsair CMK16GX4M4B3300C16 4GB,23,17.3,13.3,$159.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4B3300C16+4GB&id=7943
644,Corsair CMK16GX4M4B3400C16 4GB,30,17.3,13.7,$199.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4B3400C16+4GB&id=8380
645,Corsair CMK16GX4M4B3600C18 4GB,33,15.7,11.4,$159.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4B3600C18+4GB&id=9813
646,Corsair CMK16GX4M4B3733C17 4GB,21,21.7,18.9,$209.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4B3733C17+4GB&id=10475
648,Corsair CMK16GX4M4C3000C16 4GB,29,12.3,13.2,$96.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4C3000C16+4GB&id=12001
649,Corsair CMK16GX4M4C3200C15 4GB,28,16.6,13.0,$104.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4C3200C15+4GB&id=8778
650,Corsair CMK16GX4M4C3200C16 4GB,35,16.3,12.7,$399.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4C3200C16+4GB&id=8097
656,Corsair CMK32GX4M2A2133C13 16GB,36,15.9,11.4,$179.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2A2133C13+16GB&id=8726
657,Corsair CMK32GX4M2A2400C14 16GB,33,16.1,11.8,$185.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2A2400C14+16GB&id=7909
658,Corsair CMK32GX4M2A2400C16 16GB,33,16.2,12.3,$200.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2A2400C16+16GB&id=8948
659,Corsair CMK32GX4M2A2666C16 16GB,32,16.6,12.9,$189.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2A2666C16+16GB&id=7780
660,Corsair CMK32GX4M2A2800C16 16GB,39,15.0,12.1,$289.29*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2A2800C16+16GB&id=8384
661,Corsair CMK32GX4M2B3000C15 16GB,30,18.0,14.3,$169.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2B3000C15+16GB&id=7924
662,Corsair CMK32GX4M2B3200C16 16GB,29,18.0,14.7,$179.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2B3200C16+16GB&id=8001
663,Corsair CMK32GX4M2B3333C16 16GB,19,20.7,16.6,$349.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2B3333C16+16GB&id=10449
664,Corsair CMK32GX4M2B3466C16 16GB,27,19.0,14.3,$764.01*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2B3466C16+16GB&id=10611
666,Corsair CMK32GX4M2C3200C18 16GB,29,17.6,13.7,$179.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2C3200C18+16GB&id=18230
667,Corsair CMK32GX4M2C3333C16 16GB,24,20.4,16.8,$189.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2C3333C16+16GB&id=12707
668,Corsair CMK32GX4M2D3000C16 16GB,31,17.3,13.8,$179.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2D3000C16+16GB&id=11878
669,Corsair CMK32GX4M2D3200C16 16GB,29,18.0,14.6,$413.25*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2D3200C16+16GB&id=11066
671,Corsair CMK32GX4M2D3600C18 16GB,33,19.6,15.4,$195.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2D3600C18+16GB&id=14250
673,Corsair CMK32GX4M2F4000C19 16GB,29,18.5,16.2,$655.39*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2F4000C19+16GB&id=11447
676,Corsair CMK32GX4M2K4133C19 16GB,30,16.5,14.3,$849.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2K4133C19+16GB&id=12178
677,Corsair CMK32GX4M2L3000C15 16GB,24,19.1,15.1,$744.26*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2L3000C15+16GB&id=11552
678,Corsair CMK32GX4M2L3200C16 16GB,24,19.4,16.5,$456.81*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2L3200C16+16GB&id=11987
679,Corsair CMK32GX4M2Z2400C16 16GB,33,16.0,12.3,$178.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2Z2400C16+16GB&id=10662
683,Corsair CMK32GX4M4A2133C13 8GB,36,15.6,11.7,$179.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4A2133C13+8GB&id=6874
684,Corsair CMK32GX4M4A2133C15 8GB,37,14.2,10.5,$241.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4A2133C15+8GB&id=7371
685,Corsair CMK32GX4M4A2400C12 8GB,26,14.8,10.9,$189.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4A2400C12+8GB&id=8935
686,Corsair CMK32GX4M4A2400C14 8GB,37,15.2,11.5,$399.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4A2400C14+8GB&id=6617
687,Corsair CMK32GX4M4A2400C16 8GB,40,15.0,11.9,$272.76*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4A2400C16+8GB&id=8063
688,Corsair CMK32GX4M4A2666C15 8GB,34,16.4,12.1,$152.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4A2666C15+8GB&id=6734
689,Corsair CMK32GX4M4A2666C16 8GB,38,15.2,11.7,$144.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4A2666C16+8GB&id=6800
690,Corsair CMK32GX4M4A2800C16 8GB,33,14.5,12.1,$249.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4A2800C16+8GB&id=6979
691,Corsair CMK32GX4M4B2800C14 8GB,25,15.6,11.8,$224.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4B2800C14+8GB&id=7976
692,Corsair CMK32GX4M4B3000C15 8GB,32,17.2,13.3,$194.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4B3000C15+8GB&id=7580
693,Corsair CMK32GX4M4B3200C14 8GB,20,19.0,14.5,$284.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4B3200C14+8GB&id=10045
694,Corsair CMK32GX4M4B3200C16 8GB,33,16.9,14.5,$169.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4B3200C16+8GB&id=8475
695,Corsair CMK32GX4M4B3333C16 8GB,27,18.2,13.4,$349.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4B3333C16+8GB&id=9623
696,Corsair CMK32GX4M4B3466C16 8GB,27,19.0,16.5,$389.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4B3466C16+8GB&id=8362
698,Corsair CMK32GX4M4B3600C18 8GB,32,17.0,14.7,$289.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4B3600C18+8GB&id=8877
699,Corsair CMK32GX4M4B3733C17 8GB,20,19.8,14.6,$668.23*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4B3733C17+8GB&id=10007
700,Corsair CMK32GX4M4B3866C18 8GB,20,19.9,15.2,$883.15*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4B3866C18+8GB&id=10661
702,Corsair CMK32GX4M4C3000C15 8GB,33,16.4,13.6,$169.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4C3000C15+8GB&id=8830
704,Corsair CMK32GX4M4C3333C16 8GB,25,14.6,12.0,$340.24*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4C3333C16+8GB&id=12280
705,Corsair CMK32GX4M4C3400C16 8GB,25,16.0,12.3,$319.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4C3400C16+8GB&id=9972
706,Corsair CMK32GX4M4D3000C16 8GB,33,16.3,13.8,$152.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4D3000C16+8GB&id=12773
710,Corsair CMK32GX4M4E4133C19 8GB,43,15.2,12.4,$499.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4E4133C19+8GB&id=10489
713,Corsair CMK32GX4M4K4133C19 8GB,40,14.0,13.2,$519.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4K4133C19+8GB&id=12664
716,Corsair CMK32GX4M4Z2933C16 8GB,42,15.4,14.1,$167.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4Z2933C16+8GB&id=12631
717,Corsair CMK32GX4M4Z3200C16 8GB,32,17.9,15.6,$346.52*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4Z3200C16+8GB&id=12799
718,Corsair CMK4GX4M1A2400C14 4GB,30,18.2,13.2,$26.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK4GX4M1A2400C14+4GB&id=7988
719,Corsair CMK4GX4M1A2400C16 4GB,24,15.7,11.1,$26.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK4GX4M1A2400C16+4GB&id=8772
720,Corsair CMK4GX4M1D2400C14 4GB,72,15.4,7.8,$69.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK4GX4M1D2400C14+4GB&id=11554
721,Corsair CMK64GX4M2A2400C16 32GB,31,18.0,13.0,$463.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M2A2400C16+32GB&id=13873
722,Corsair CMK64GX4M2A2666C16 32GB,31,17.1,13.4,$353.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M2A2666C16+32GB&id=13952
725,Corsair CMK64GX4M2D3600C18 32GB,37,17.3,14.7,$469.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M2D3600C18+32GB&id=14215
726,Corsair CMK64GX4M2E3200C16 32GB,35,19.2,14.7,$349.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M2E3200C16+32GB&id=14052
728,Corsair CMK64GX4M4A2133C13 16GB,37,14.5,11.6,$289.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M4A2133C13+16GB&id=8643
729,Corsair CMK64GX4M4A2400C14 16GB,40,14.6,11.3,$449.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M4A2400C14+16GB&id=8359
730,Corsair CMK64GX4M4A2400C16 16GB,37,15.1,12.2,$454.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M4A2400C16+16GB&id=9652
731,Corsair CMK64GX4M4A2666C16 16GB,35,16.5,13.0,$399.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M4A2666C16+16GB&id=8567
732,Corsair CMK64GX4M4B2800C14 16GB,27,14.8,11.1,$464.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M4B2800C14+16GB&id=8280
733,Corsair CMK64GX4M4B3000C15 16GB,27,14.4,11.7,$359.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M4B3000C15+16GB&id=8249
734,Corsair CMK64GX4M4B3200C16 16GB,32,17.8,14.1,$349.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M4B3200C16+16GB&id=8172
735,Corsair CMK64GX4M4B3333C16 16GB,31,16.5,13.9,$673.64*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M4B3333C16+16GB&id=8395
736,Corsair CMK64GX4M4B3466C16 16GB,21,18.8,14.8,$579.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M4B3466C16+16GB&id=9113
738,Corsair CMK64GX4M4C3000C15 16GB,39,14.5,14.5,$449.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M4C3000C15+16GB&id=11416
740,Corsair CMK64GX4M4C3200C16 16GB,32,16.9,15.4,$499.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M4C3200C16+16GB&id=12493
742,Corsair CMK64GX4M4D3000C16 16GB,37,15.3,13.3,$299.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M4D3000C16+16GB&id=12299
744,Corsair CMK64GX4M4E3200C16 16GB,36,16.4,13.2,$623.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M4E3200C16+16GB&id=15207
746,Corsair CMK64GX4M4K3733C17 16GB,20,19.4,15.0,$839.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M4K3733C17+16GB&id=11901
748,Corsair CMK64GX4M8A2133C13 8GB,28,13.2,10.6,$269.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M8A2133C13+8GB&id=6839
749,Corsair CMK64GX4M8A2400C14 8GB,40,14.3,11.2,$499.95*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M8A2400C14+8GB&id=6907
750,Corsair CMK64GX4M8A2666C16 8GB,28,13.2,10.1,$519.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M8A2666C16+8GB&id=7542
751,Corsair CMK64GX4M8B2800C14 8GB,27,14.1,11.8,$379.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M8B2800C14+8GB&id=8881
753,Corsair CMK64GX4M8X3600C18 8GB,30,17.7,15.4,$729.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M8X3600C18+8GB&id=12550
754,Corsair CMK64GX4M8X4000C19 8GB,29,12.6,14.8,$879.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M8X4000C19+8GB&id=12289
755,Corsair CMK64GX4M8X4133C19 8GB,26,12.3,15.3,$899.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M8X4133C19+8GB&id=12140
756,Corsair CMK64GX4M8X4200C19 8GB,28,12.9,15.0,$919.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M8X4200C19+8GB&id=12062
758,Corsair CMK64GX4M8Z2933C16 8GB,84,12.8,10.5,$459.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M8Z2933C16+8GB&id=12872
760,Corsair CMK8GX4M1A2400C14 8GB,34,15.8,11.5,$55.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK8GX4M1A2400C14+8GB&id=7307
761,Corsair CMK8GX4M1A2400C16 8GB,32,16.4,12.3,$37.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK8GX4M1A2400C16+8GB&id=8582
762,Corsair CMK8GX4M1A2666C16 8GB,31,16.6,12.6,$50.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK8GX4M1A2666C16+8GB&id=8234
765,Corsair CMK8GX4M1D3000C16 8GB,30,17.6,13.7,$69.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK8GX4M1D3000C16+8GB&id=11905
769,Corsair CMK8GX4M2A2133C13 4GB,32,16.7,12.2,$79.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK8GX4M2A2133C13+4GB&id=8004
770,Corsair CMK8GX4M2A2400C14 4GB,33,16.1,11.8,$69.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK8GX4M2A2400C14+4GB&id=7182
771,Corsair CMK8GX4M2A2400C16 4GB,32,16.4,12.8,$66.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK8GX4M2A2400C16+4GB&id=8256
772,Corsair CMK8GX4M2A2666C16 4GB,30,16.0,11.9,$69.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK8GX4M2A2666C16+4GB&id=7981
773,Corsair CMK8GX4M2A2800C16 4GB,30,16.4,11.8,$68.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK8GX4M2A2800C16+4GB&id=8397
774,Corsair CMK8GX4M2B3000C15 4GB,30,17.6,14.2,$237.75*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK8GX4M2B3000C15+4GB&id=7934
775,Corsair CMK8GX4M2B3200C16 4GB,28,18.2,13.5,$199.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK8GX4M2B3200C16+4GB&id=7942
776,Corsair CMK8GX4M2B3600C18 4GB,24,20.0,15.7,$167.34*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK8GX4M2B3600C18+4GB&id=8543
777,Corsair CMK8GX4M2B3733C17 4GB,21,19.4,14.6,$226.10*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK8GX4M2B3733C17+4GB&id=9699
778,Corsair CMK8GX4M2B3866C18 4GB,28,15.8,13.4,$107.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK8GX4M2B3866C18+4GB&id=9475
779,Corsair CMK8GX4M2B4000C19 4GB,21,18.1,13.4,$140.34*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK8GX4M2B4000C19+4GB&id=9816
781,Corsair CMK8GX4M2B4200C19 4GB,44,14.7,10.1,$438.37*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK8GX4M2B4200C19+4GB&id=11030
783,Corsair CMK8GX4M2C3000C16 4GB,28,18.1,13.9,$96.93*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK8GX4M2C3000C16+4GB&id=11711
784,Corsair CMK8GX4M2D2666C16 4GB,23,17.4,12.8,$119.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK8GX4M2D2666C16+4GB&id=12527
785,Corsair CMN16GX4M2Z3200C16 8GB,35,21.4,15.1,$118.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMN16GX4M2Z3200C16+8GB&id=18004
786,Corsair CMN16GX4M2Z3600C16 8GB,40,24.5,17.7,$189.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMN16GX4M2Z3600C16+8GB&id=17829
787,Corsair CMN16GX4M2Z3600C18 8GB,33,23.3,16.8,$125.99,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMN16GX4M2Z3600C18+8GB&id=17519
788,Corsair CMN32GX4M2Z3200C16 16GB,35,20.1,15.7,$199.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMN32GX4M2Z3200C16+16GB&id=17566
789,Corsair CMN32GX4M2Z3600C16 16GB,34,22.6,17.0,$299.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMN32GX4M2Z3600C16+16GB&id=17806
790,Corsair CMN32GX4M2Z3600C18 16GB,41,22.2,16.2,$319.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMN32GX4M2Z3600C18+16GB&id=17172
791,Corsair CMN32GX4M2Z4000C18 16GB,37,20.3,17.5,$436.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMN32GX4M2Z4000C18+16GB&id=17343
792,Corsair CMN32GX4M2Z4600C18 16GB,28,18.9,17.3,$499.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMN32GX4M2Z4600C18+16GB&id=17379
794,Corsair CMN64GX4M2Z3200C16 32GB,34,21.8,15.6,$659.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMN64GX4M2Z3200C16+32GB&id=17445
795,Corsair CMN64GX4M4Z3600C18 16GB,51,11.5,14.0,$559.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMN64GX4M4Z3600C18+16GB&id=17386
796,Corsair CMR128GX4M8C3000C16 16GB,21,19.7,15.9,$999.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR128GX4M8C3000C16+16GB&id=11840
799,Corsair CMR16GX4M2A2666C16 8GB,30,17.2,13.0,$476.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR16GX4M2A2666C16+8GB&id=10412
800,Corsair CMR16GX4M2C 8GB,66,11.4,7.2,$115.30*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR16GX4M2C+8GB&id=13282
801,Corsair CMR16GX4M2C3000C15 8GB,29,18.3,13.7,$136.65*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR16GX4M2C3000C15+8GB&id=10447
802,Corsair CMR16GX4M2C3000C16 8GB,30,18.4,14.1,$258.96*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR16GX4M2C3000C16+8GB&id=11362
803,Corsair CMR16GX4M2C3200C16 8GB,28,17.6,13.6,$275.36*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR16GX4M2C3200C16+8GB&id=10776
804,Corsair CMR16GX4M2C3466C16 8GB,26,19.3,15.5,$369.66*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR16GX4M2C3466C16+8GB&id=10849
805,Corsair CMR16GX4M2C3600C18 8GB,28,18.8,14.7,$359.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR16GX4M2C3600C18+8GB&id=11048
806,Corsair CMR16GX4M2D3000C16 8GB,27,17.8,13.6,$146.59*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR16GX4M2D3000C16+8GB&id=12134
807,Corsair CMR16GX4M2D3200C16 8GB,26,18.8,13.7,$194.38*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR16GX4M2D3200C16+8GB&id=11441
812,Corsair CMR16GX4M2Z3200C16 8GB,22,18.7,14.7,$293.34*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR16GX4M2Z3200C16+8GB&id=11932
814,Corsair CMR32GX4M2C3000C15 16GB,28,18.9,14.9,$383.69*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR32GX4M2C3000C15+16GB&id=11433
816,Corsair CMR32GX4M2C3200C16 16GB,29,18.7,15.8,$298.28*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR32GX4M2C3200C16+16GB&id=11024
817,Corsair CMR32GX4M2C3333C16 16GB,28,18.1,14.7,$507.67*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR32GX4M2C3333C16+16GB&id=11468
818,Corsair CMR32GX4M2D3000C16 16GB,29,18.9,15.0,$235.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR32GX4M2D3000C16+16GB&id=12417
819,Corsair CMR32GX4M2F3600C18 16GB,25,19.1,16.3,$761.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR32GX4M2F3600C18+16GB&id=12312
820,Corsair CMR32GX4M4A2666C16 8GB,32,16.4,12.8,$538.38*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR32GX4M4A2666C16+8GB&id=10861
821,Corsair CMR32GX4M4C3000C15 8GB,34,16.7,13.9,$638.54*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR32GX4M4C3000C15+8GB&id=10406
