,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD),lien
457,Corsair CMD16GX4M2B3200C16 8GB,30,17.9,14.0,$129.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2B3200C16+8GB&id=8228
458,Corsair CMD16GX4M2B3466C16 8GB,21,20.8,17.0,$351.58*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2B3466C16+8GB&id=11301
459,Corsair CMD16GX4M2B3600C18 8GB,22,20.2,17.4,$239.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2B3600C18+8GB&id=10681
460,Corsair CMD16GX4M2B3733C17 8GB,24,17.2,12.4,$259.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2B3733C17+8GB&id=10524
461,Corsair CMD16GX4M2B3866C18 8GB,22,19.5,17.5,$259.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2B3866C18+8GB&id=11813
462,Corsair CMD16GX4M2C3333C16 8GB,22,17.7,13.8,$169.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2C3333C16+8GB&id=12838
463,Corsair CMD16GX4M2E4000C19 8GB,27,18.6,14.6,$279.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2E4000C19+8GB&id=10690
465,Corsair CMD16GX4M4A2666C15 4GB,37,14.6,11.8,$371.91*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4A2666C15+4GB&id=6380
466,Corsair CMD16GX4M4A2666C16 4GB,37,14.6,11.5,$399.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4A2666C16+4GB&id=6538
467,Corsair CMD16GX4M4A2800C16 4GB,35,15.1,11.3,$253.19*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4A2800C16+4GB&id=6300
468,Corsair CMD16GX4M4B2133C10 4GB,24,15.8,11.7,$204.67*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B2133C10+4GB&id=7496
469,Corsair CMD16GX4M4B2400C10 4GB,25,13.7,10.2,$145.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B2400C10+4GB&id=9212
470,Corsair CMD16GX4M4B3000C14 4GB,25,15.8,13.1,$452.44*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B3000C14+4GB&id=8100
471,Corsair CMD16GX4M4B3000C15 4GB,32,16.4,12.9,$445.07*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B3000C15+4GB&id=6382
