,Unnamed: 0,CPU Name,CPU Mark(higher is better),Rank(lower is better),CPU Value(higher is better),Price(USD),lien,Integer Math,Floating Point Math,Find Prime Numbers,Random String Sorting,Data Encryption,Data Compression,Physics,Extended Instructions,Single Thread
1944,3498,Intel Xeon Gold 5215 @ 2.50GHz,"15,624",647,16.42,$951.43,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+5215+%40+2.50GHz&id=3620,"52,613 MOps/Sec","32,712 MOps/Sec",67 Million Primes/Sec,"29,210 Thousand Strings/Sec","5,709 MBytes/Sec","232,286 KBytes/Sec","1,228 Frames/Sec","14,442 Million Matrices/Sec","1,835 MOps/Sec"
1945,3499,Intel Xeon Gold 5217 @ 3.00GHz,"15,429",655,14.77,"$1,044.58",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+5217+%40+3.00GHz&id=3585,"49,270 MOps/Sec","30,991 MOps/Sec",66 Million Primes/Sec,"29,408 Thousand Strings/Sec","6,076 MBytes/Sec","218,290 KBytes/Sec","1,266 Frames/Sec","12,359 Million Matrices/Sec","2,173 MOps/Sec"
1946,3500,Intel Xeon Gold 5218 @ 2.30GHz,"22,147",398,22.67,$977.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+5218+%40+2.30GHz&id=3536,"81,781 MOps/Sec","47,890 MOps/Sec",86 Million Primes/Sec,"41,550 Thousand Strings/Sec","9,812 MBytes/Sec","365,862 KBytes/Sec","1,163 Frames/Sec","21,614 Million Matrices/Sec","2,265 MOps/Sec"
1947,3501,Intel Xeon Gold 5218R @ 2.10GHz,"25,916",299,32.72,$792.14,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+5218R+%40+2.10GHz&id=4260,"104,870 MOps/Sec","65,495 MOps/Sec",86 Million Primes/Sec,"53,273 Thousand Strings/Sec","11,645 MBytes/Sec","454,093 KBytes/Sec","1,131 Frames/Sec","32,008 Million Matrices/Sec","2,210 MOps/Sec"
1948,3502,Intel Xeon Gold 5218T @ 2.10GHz,"21,433",425,15.89,"$1,349.00*",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+5218T+%40+2.10GHz&id=3439,"78,941 MOps/Sec","49,064 MOps/Sec",67 Million Primes/Sec,"41,375 Thousand Strings/Sec","11,006 MBytes/Sec","355,161 KBytes/Sec",841 Frames/Sec,"16,370 Million Matrices/Sec","2,282 MOps/Sec"
1949,3503,Intel Xeon Gold 5220 @ 2.20GHz,"24,154",335,23.70,"$1,019.05",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+5220+%40+2.20GHz&id=3534,"87,472 MOps/Sec","54,743 MOps/Sec",104 Million Primes/Sec,"49,594 Thousand Strings/Sec","8,463 MBytes/Sec","395,271 KBytes/Sec","1,554 Frames/Sec","27,403 Million Matrices/Sec","2,364 MOps/Sec"
1950,3504,Intel Xeon Gold 5220R @ 2.20GHz,"33,370",177,25.28,"$1,320.00",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+5220R+%40+2.20GHz&id=4217,"126,105 MOps/Sec","78,438 MOps/Sec",138 Million Primes/Sec,"70,425 Thousand Strings/Sec","15,066 MBytes/Sec","564,104 KBytes/Sec","1,902 Frames/Sec","33,931 Million Matrices/Sec","2,399 MOps/Sec"
1951,3505,Intel Xeon Gold 5222 @ 3.80GHz,"9,504",968,7.81,"$1,216.41",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+5222+%40+3.80GHz&id=3475,"27,706 MOps/Sec","17,239 MOps/Sec",49 Million Primes/Sec,"15,986 Thousand Strings/Sec","3,201 MBytes/Sec","123,398 KBytes/Sec",850 Frames/Sec,"9,997 Million Matrices/Sec","2,348 MOps/Sec"
1952,3506,Intel Xeon Gold 5315Y @ 3.20GHz,"20,724",449,10.37,"$1,998.95*",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+5315Y+%40+3.20GHz&id=4492,"66,485 MOps/Sec","38,841 MOps/Sec",81 Million Primes/Sec,"29,717 Thousand Strings/Sec","12,817 MBytes/Sec","240,456 KBytes/Sec","1,530 Frames/Sec","19,714 Million Matrices/Sec","2,488 MOps/Sec"
1953,3507,Intel Xeon Gold 5317 @ 3.00GHz,"27,402",267,28.27,$969.38,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+5317+%40+3.00GHz&id=4326,"98,600 MOps/Sec","51,137 MOps/Sec",99 Million Primes/Sec,"47,208 Thousand Strings/Sec","21,304 MBytes/Sec","359,229 KBytes/Sec","1,590 Frames/Sec","22,970 Million Matrices/Sec","2,358 MOps/Sec"
1954,3508,Intel Xeon Gold 5318Y @ 2.10GHz,"33,283",179,19.58,"$1,700.00*",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+5318Y+%40+2.10GHz&id=4703,"148,915 MOps/Sec","83,458 MOps/Sec",129 Million Primes/Sec,"56,429 Thousand Strings/Sec","29,007 MBytes/Sec","539,878 KBytes/Sec","1,891 Frames/Sec","38,846 Million Matrices/Sec","2,083 MOps/Sec"
