,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD)
2201,Kingston 99U5471-004.A00LF 2GB,26,11.3,7.1,NA
2202,Kingston 99U5471-006.A00LF 4GB,33,12.1,7.5,NA
2203,Kingston 99U5471-011.A00LF 2GB,26,11.9,7.5,NA
2204,Kingston 99U5471-011.A01LF 2GB,29,11.3,7.7,NA
2205,Kingston 99U5471-012.A00 4GB,67,6.4,3.2,NA
2206,Kingston 99U5471-012.A00LF 4GB,40,13.3,8.0,NA
2207,Kingston 99U5471-017.A00LF 4GB,27,11.9,7.6,NA
2208,Kingston 99U5471-019.A00LF 4GB,38,14.3,8.4,NA
2209,Kingston 99U5471-020.A00LF 4GB,41,13.2,8.2,NA
2210,Kingston 99U5471-021.A00LF 4GB,27,12.1,7.2,NA
2211,Kingston 99U5471-024.A00LF 4GB,28,13.2,8.9,NA
2212,Kingston 99U5471-025.A00LF 4GB,26,12.7,7.9,NA
2213,Kingston 99U5471-026.A00LF 4GB,25,13.3,8.1,NA
2214,Kingston 99U5471-028.A00LF 4GB,41,13.0,7.9,NA
2215,Kingston 99U5471-029.A00LF 4GB,35,13.3,8.4,NA
2216,Kingston 99U5471-030.A00LF 8GB,40,13.7,8.4,NA
2217,Kingston 99U5471-031.A00LF 8GB,37,13.0,8.1,NA
2218,Kingston 99U5471-032.A00LF 4GB,25,14.8,9.7,NA
2219,Kingston 99U5471-033.A00LF 4GB,26,14.2,9.5,NA
2220,Kingston 99U5471-034.A00LF 4GB,36,14.4,9.4,NA
2221,Kingston 99U5471-035.A00LF 4GB,39,14.1,9.8,NA
2222,Kingston 99U5471-036.A00LF 8GB,40,13.8,9.0,NA
2223,Kingston 99U5471-037.A00LF 8GB,39,14.7,9.6,NA
2224,Kingston 99U5471-038.A00LF 8GB,27,11.1,6.3,NA
2225,Kingston 99U5471-039.A00LF 8GB,38,14.5,9.4,NA
2226,Kingston 99U5471-040.A00LF 8GB,41,13.4,8.3,NA
2227,Kingston 99U5471-047.A00LF 8GB,41,13.2,7.7,NA
2228,Kingston 99U5471-049.A00LF 8GB,90,5.8,3.6,NA
2229,Kingston 99U5471-050.A00LF 8GB,38,15.3,9.7,NA
2230,Kingston 99U5471-051.A00LF 8GB,29,11.0,6.2,NA
2231,Kingston 99U5471-052.A00LF 8GB,43,13.4,7.9,NA
2232,Kingston 99U5471-053.A00LF 8GB,38,14.4,9.0,NA
2233,Kingston 99U5471-054.A00LF 8GB,40,14.5,9.4,NA
2234,Kingston 99U5471-055.A00LF 8GB,27,14.2,9.4,NA
2235,Kingston 99U5471-056.A00LF 8GB,41,13.9,9.2,NA
2236,Kingston 99U5471-057.A00LF 8GB,38,12.9,7.5,NA
2237,Kingston 99U5471-058.A00LF 8GB,37,13.7,8.7,NA
2238,Kingston 99U5471-059.A00LF 8GB,37,14.4,9.5,NA
2239,Kingston 99U5471-062.A00LF 8GB,67,6.5,5.0,NA
2240,Kingston 99U5471-065.A00LF 8GB,34,14.0,9.3,NA
2241,Kingston 99U5471-066.A00LF 8GB,40,14.3,9.3,NA
2242,Kingston 99U5474-001.A00LF 1GB,65,5.0,3.8,NA
2243,Kingston 99U5474-010.A00LF 2GB,25,13.8,7.8,NA
2244,Kingston 99U5474-011.A00LF 2GB,35,8.6,5.9,NA
2245,Kingston 99U5474-012.A00LF 2GB,26,12.2,7.7,NA
2246,Kingston 99U5474-013.A00LF 2GB,27,10.0,5.7,NA
2247,Kingston 99U5474-015.A00LF 2GB,28,12.8,7.0,NA
2248,Kingston 99U5474-016.A00LF 4GB,36,13.7,7.3,NA
2249,Kingston 99U5474-021.A00LF 4GB,27,13.8,7.5,NA
2250,Kingston 99U5474-022.A00LF 2GB,26,13.0,9.5,NA
2251,Kingston 99U5474-023.A00LF 4GB,27,12.8,7.5,NA
2252,Kingston 99U5474-025.A00LF 2GB,26,10.0,7.7,NA
2253,Kingston 99U5474-026.A00LF 4GB,40,13.0,7.2,NA
2254,Kingston 99U5474-028.A00LF 4GB,39,14.4,7.7,NA
2255,Kingston 99U5474-030.A00LF 4GB,30,12.0,6.4,NA
2256,Kingston 99U5474-036.A00LF 4GB,27,14.3,8.3,NA
2257,Kingston 99U5474-037.A00LF 4GB,37,13.7,7.8,NA
2258,Kingston 99U5474-038.A00LF 4GB,40,12.9,7.5,NA
2259,Kingston 99U5474-041.A00LF 4GB,27,11.9,7.2,NA
2260,Kingston 99U5582-008.A00G 4GB,32,10.6,7.5,NA
2261,Kingston 99U5584-001.A00LF 4GB,28,11.5,6.7,NA
2262,Kingston 99U5584-003.A00LF 4GB,36,14.3,8.6,NA
2263,Kingston 99U5584-004.A00LF 4GB,27,13.1,7.7,NA
2264,Kingston 99U5584-005.A00LF 4GB,43,13.2,8.0,NA
2265,Kingston 99U5584-007.A00LF 4GB,40,11.1,6.1,NA
2266,Kingston 99U5584-008.A00LF 4GB,28,12.2,6.6,NA
2267,Kingston 99U5584-009.A00LF 4GB,37,14.0,8.2,NA
2268,Kingston 99U5584-010.A00LF 4GB,37,14.4,8.4,NA
2269,Kingston 99U5584-011.A00LF 4GB,28,14.0,7.4,NA
2270,Kingston 99U5584-012.A00LF 4GB,46,9.5,6.9,NA
2271,Kingston 99U5584-013.A00LF 4GB,26,13.9,8.6,NA
2272,Kingston 99U5584-014.A00LF 4GB,25,15.0,8.6,NA
2273,Kingston 99U5584-016.A00LF 4GB,26,11.1,5.3,NA
2274,Kingston 99U5584-017.A00LF 4GB,22,15.5,9.8,NA
2275,Kingston 99U5584-018.A00LF 4GB,71,4.9,3.1,NA
2276,Kingston 99U5594-001.A00LF 2GB,27,14.6,8.6,NA
2277,Kingston 99U5594-003.A00LF 2GB,26,15.2,8.5,NA
2278,Kingston 99U5595-001.A00LF 2GB,74,6.0,4.1,NA
2279,Kingston 99U5595-002.A00LF 2GB,26,13.6,7.6,NA
2280,Kingston 99U5595-003.A00LF 2GB,25,10.5,4.8,NA
2281,Kingston 99U5595-005.A00LF 2GB,26,13.2,7.3,NA
2282,Kingston 99U5603-002.A00G 4GB,27,13.1,8.7,NA
2283,Kingston ACR16D3LFS1KBG/2G 2GB,27,7.1,4.2,NA
2284,Kingston ACR16D3LS1KBG/4G 4GB,80,5.2,4.1,NA
2285,Kingston ACR16D3LS1KBG/8G 8GB,44,11.7,8.4,NA
2286,Kingston ACR16D3LS1KFG/4G 4GB,42,11.5,8.1,NA
2287,Kingston ACR16D3LS1KFG/8G 8GB,46,12.3,9.1,NA
2288,Kingston ACR16D3LS1KNG/4G 4GB,30,12.5,7.8,NA
2289,Kingston ACR16D3LS1KNG/8G 8GB,28,9.7,5.2,NA
2290,Kingston ACR16D3LS1MNG/8G 8GB,53,10.6,7.7,NA
2291,Kingston ACR16D3LS1NBG/4G 4GB,30,11.2,7.7,NA
2292,Kingston ACR16D3LS1NGG/2G 2GB,84,5.0,3.6,NA
2293,Kingston ACR16D3LS1NGG/4G 4GB,31,11.4,8.4,NA
2294,Kingston ACR16D3LU1KBG/4G 4GB,27,13.0,7.6,NA
2295,Kingston ACR16D3LU1KBG/8G 8GB,43,13.0,8.2,NA
2296,Kingston ACR16D3LU1KBGR/8G 8GB,113,5.1,3.6,NA
2297,Kingston ACR16D3LU1KFG/4G 4GB,40,13.8,8.3,NA
2298,Kingston ACR16D3LU1KFG/8G 8GB,44,13.3,9.0,NA
2299,Kingston ACR16D3LU1KNG/4G 4GB,38,14.3,8.0,NA
2300,Kingston ACR16D3LU1KNG/8G 8GB,39,14.6,9.8,NA
2301,Kingston ACR16D3LU1MNG/4G 4GB,29,12.3,7.1,NA
2302,Kingston ACR16D3LU1MNG/8G 8GB,28,12.6,8.2,NA
2303,Kingston ACR16D3LU1NGG/4G 4GB,37,13.4,8.2,NA
2304,Kingston ACR1GX64D3S1333C9 8GB,65,6.3,3.6,NA
2305,Kingston ACR256X64D3S1333C9 2GB,27,11.9,8.5,NA
2306,Kingston ACR256X64D3S13C9G 2GB,27,10.0,7.6,NA
2307,Kingston ACR256X64D3U1333C9 2GB,36,10.2,7.0,NA
2308,Kingston ACR256X64D3U13C9G 2GB,28,10.6,6.5,NA
2309,Kingston ACR512X64D3S1333C9 4GB,92,4.4,4.1,NA
2310,Kingston ACR512X64D3S13C9G 4GB,27,11.5,8.5,NA
2311,Kingston ACR512X64D3S16C11G 4GB,26,14.0,9.3,NA
2312,Kingston ACR512X64D3U13C9G 4GB,27,12.0,6.8,NA
2313,Kingston ACR512X64D3U16C11G 4GB,35,14.4,9.3,NA
2314,Kingston AM2L16BC8R2-B0QS 8GB,29,10.2,6.6,NA
2315,Kingston AM472D3LD4P13C9EC 8GB,32,9.9,10.1,NA
2316,Kingston ASU1333D3S9DR8/2G 2GB,28,11.8,8.4,NA
2317,Kingston ASU1600S11-4G-EDEG 4GB,27,11.5,7.9,NA
2318,Kingston ASU16D3LS1KBG/4G 4GB,42,12.0,8.3,NA
2319,Kingston ASU16D3LS1KFG/4G 4GB,30,11.4,7.2,NA
2320,Kingston ASU16D3LS1MNG/8G 8GB,26,12.7,7.9,NA
2321,Kingston ASU16D3LU1KBG/4G 4GB,29,11.7,6.9,NA
2322,Kingston ASU16D3LU1KBG/8G 8GB,39,14.5,9.5,NA
2323,Kingston ASU16D3LU1KBGR/4G 4GB,92,5.7,3.9,NA
2324,Kingston ASU16D3LU1KFG/8G 8GB,37,14.2,9.6,NA
2325,Kingston ASU16D3LU1MNG/8G 8GB,78,6.1,3.2,NA
2326,Kingston BLS4G3D1609DS1S00. 4GB,92,6.1,3.6,NA
2327,Kingston BRAP1G48GB16C1600 8GB,70,6.4,4.4,NA
2328,Kingston DDR3 1333G 2GB,26,14.8,8.0,NA
2329,Kingston EBJ81UG8BBW0-GN-F 8GB,24,15.2,10.4,NA
2330,Kingston HMT351U6CFR8C-PB 4GB,67,6.5,3.8,NA
2331,Kingston HMT451U6MFR8C-PB 8GB,70,6.3,3.0,NA
2332,Kingston HP16D3LS1KBG/4G 4GB,40,12.0,8.1,NA
2333,Kingston HP16D3LS1KBG/8G 8GB,31,10.9,7.2,NA
2334,Kingston HP16D3LS1KBGH/4G 4GB,28,10.4,7.1,NA
2335,Kingston HP16D3LS1KFG/4G 4GB,30,11.3,7.7,NA
2336,Kingston HP16D3LS1KFG/8G 8GB,31,10.9,7.5,NA
2337,Kingston HP497157-C01-ELDW 2GB,23,14.6,8.6,NA
2338,Kingston HP497157-C01-ELDWG 2GB,71,6.7,5.5,NA
2339,Kingston HP497157-D88-ELCG 2GB,28,14.2,7.7,NA
2340,Kingston HP497157-D88-ELFWG 2GB,25,12.5,8.4,NA
2341,Kingston HP536726-H41-ELCUW 4GB,27,12.1,8.4,NA
2342,Kingston HP536727-H41-ELD 4GB,51,11.6,8.1,NA
2343,Kingston HP647651-081-HYA 8GB,35,8.1,7.1,NA
2344,Kingston HP647653-081-HYM 16GB,45,12.0,9.4,NA
2345,Kingston HP655410-150-HYCG 4GB,46,12.4,9.2,NA
2346,Kingston HP669238-071-HYC 4GB,25,11.3,5.5,NA
2347,Kingston HP687515-H63-KEB 4GB,30,11.6,7.8,NA
2348,Kingston HP687515-H66-MCN 4GB,28,12.7,8.2,NA
2349,Kingston HP691160-H63-KEB 8GB,39,13.1,8.9,NA
2350,Kingston HP691160-H65-MCN 8GB,30,10.1,6.7,NA
2351,Kingston HP691160-H66-MCN 8GB,38,13.4,9.8,NA
2352,Kingston HP698650-154-HYAG 4GB,26,12.5,7.2,NA
2353,Kingston HP698650-154-KEB 4GB,41,13.8,8.1,NA
2354,Kingston HP698650-154-KEF 4GB,28,12.1,6.8,NA
2355,Kingston HP698650-154-MCN 4GB,40,12.8,7.2,NA
2356,Kingston HP698651-154-KEB 8GB,29,12.6,8.3,NA
2357,Kingston HP698651-154-KEF 8GB,27,10.4,5.3,NA
2358,Kingston HP698651-154-MCN 8GB,26,11.8,6.4,NA
2359,Kingston HP698656-154-KEB 4GB,27,14.4,8.3,NA
2360,Kingston HX316C10F/4 4GB,67,6.3,5.0,NA
2361,Kingston HX316C10F/8 8GB,39,14.6,9.3,$89.99*
2362,Kingston HX318C10F/8 8GB,37,14.0,8.3,NA
2363,Kingston HX318C10FK/4 4GB,69,6.1,4.1,NA
2364,Kingston HX318C10FK2/16 8GB,40,15.2,9.3,NA
2365,Kingston K1N7HK-ELC 2GB,26,12.6,7.7,NA
2366,Kingston K1N7HK-HYC 2GB,26,12.2,7.8,NA
2367,Kingston K531R8-ETB 4GB,41,14.0,8.7,NA
