,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD),lien,Database Operations,Memory Read Cached,Memory Read Uncached,Memory Write,Latency,Memory Threaded
31,Corsair CMD16GX4M4C3200C16 4GB,28,18.3,15.8,$429.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4C3200C16+4GB&id=8870,"5,693 KOps/Sec","29,941 MBytes/Sec","18,399 MBytes/Sec","14,403 MBytes/Sec",35 ns (lower is better),"46,974 MBytes/Sec"
32,Corsair CMD32GX4M2A2666C15 16GB,29,17.3,13.4,$440.19*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M2A2666C15+16GB&id=8194,"5,034 KOps/Sec","30,532 MBytes/Sec","17,158 MBytes/Sec","13,712 MBytes/Sec",29 ns (lower is better),"31,515 MBytes/Sec"
33,Corsair CMD32GX4M2A2800C16 16GB,26,15.7,10.7,$229.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M2A2800C16+16GB&id=8528,NA,"30,623 MBytes/Sec","15,692 MBytes/Sec","10,697 MBytes/Sec",26 ns (lower is better),NA
34,Corsair CMD32GX4M2B2800C14 16GB,33,16.5,13.4,$259.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M2B2800C14+16GB&id=8955,"5,716 KOps/Sec","31,894 MBytes/Sec","18,231 MBytes/Sec","14,625 MBytes/Sec",36 ns (lower is better),"37,801 MBytes/Sec"
35,Corsair CMD32GX4M2B3000C15 16GB,30,18.2,14.0,$196.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M2B3000C15+16GB&id=8139,"5,541 KOps/Sec","31,657 MBytes/Sec","18,128 MBytes/Sec","13,375 MBytes/Sec",37 ns (lower is better),"39,062 MBytes/Sec"
36,Corsair CMD32GX4M2B3466C16 16GB,34,16.2,12.0,$699.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M2B3466C16+16GB&id=11595,"5,428 KOps/Sec","28,710 MBytes/Sec","16,151 MBytes/Sec","11,997 MBytes/Sec",35 ns (lower is better),"29,878 MBytes/Sec"
37,Corsair CMD32GX4M2C3200C16 16GB,32,17.1,13.9,$209.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M2C3200C16+16GB&id=8711,"5,936 KOps/Sec","31,468 MBytes/Sec","17,686 MBytes/Sec","13,445 MBytes/Sec",36 ns (lower is better),"39,060 MBytes/Sec"
38,Corsair CMD32GX4M4A2400C12 8GB,22,17.7,13.1,$259.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4A2400C12+8GB&id=9181,NA,"28,115 MBytes/Sec","17,696 MBytes/Sec","13,102 MBytes/Sec",22 ns (lower is better),NA
39,Corsair CMD32GX4M4A2400C14 8GB,32,16.7,12.2,$917.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4A2400C14+8GB&id=6618,"5,505 KOps/Sec","30,894 MBytes/Sec","16,120 MBytes/Sec","12,083 MBytes/Sec",34 ns (lower is better),"36,598 MBytes/Sec"
40,Corsair CMD32GX4M4A2666C15 8GB,35,15.9,12.8,$219.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4A2666C15+8GB&id=6482,"4,808 KOps/Sec","29,033 MBytes/Sec","15,520 MBytes/Sec","12,617 MBytes/Sec",38 ns (lower is better),"48,849 MBytes/Sec"
